Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
205	295	gt▁	2892	199	199	0.194595	0.186528	0.190476
206	305	wird▁	2866	171	131	0.325	0.424863	0.368282
207	188	it	2858	168	141	0.38141	0.456989	0.415793
208	309	über▁	2832	165	132	0.230392	0.295518	0.258923
209	310	sind▁	2830	120	163	0.327536	0.238095	0.275744
210	306	ungs	2826	99	75	0.126316	0.159722	0.141068
211	308	wen	2820	111	139	0.331683	0.28125	0.304392
212	304	einer▁	2820	216	141	0.201178	0.301471	0.241319
213	155	au	2817	277	163	0.211462	0.358796	0.266097
214	363	ot	2810	174	175	0.435185	0.44824	0.441616
215	312	Sch	2809	213	176	0.28045	0.346875	0.310146
216	62	O	2807	204	164	0.414894	0.570007	0.480236
217	347	Er	2793	245	204	0.48954	0.593162	0.536392
218	192	em▁	2773	101	91	0.226804	0.232558	0.229645
219	220	ell	2763	151	168	0.298611	0.268577	0.282799
220	313	k▁	2758	150	148	0.41958	0.433333	0.426346
221	250	den	2747	118	88	0.230994	0.304598	0.262738
222	411	je	2712	147	187	0.402174	0.330149	0.362619
223	318	Sie▁	2707	125	141	0.535948	0.447154	0.487541
224	268	nen▁	2695	131	104	0.161202	0.203125	0.179752
225	319	wie▁	2694	138	112	0.423773	0.533333	0.472282
226	434	we	2675	192	70	0.077381	0.226562	0.115361
227	301	als▁	2666	240	203	0.460606	0.547368	0.500253
228	307	oll	2557	140	126	0.390625	0.463333	0.423884
229	213	lich	2553	112	95	0.155963	0.177419	0.166001
230	325	är	2550	130	138	0.264228	0.234667	0.248571
231	186	hr	2542	146	119	0.33208	0.409091	0.366585
232	190	mm	2539	136	102	0.169231	0.22	0.191304
233	289	lie	2537	144	127	0.198582	0.225397	0.211141
234	331	haben▁	2520	176	141	0.317073	0.397135	0.352617
235	322	einen▁	2503	258	160	0.175847	0.282895	0.216881
236	367	Ein	2491	162	124	0.403226	0.516529	0.452899
237	343	for	2486	123	84	0.331897	0.495556	0.397541
238	334	st▁	2467	214	103	0.17203	0.367347	0.234325
239	364	se▁	2466	121	101	0.205128	0.236559	0.219725
240	491	beit	2458	88	82	0.470238	0.506757	0.487815
241	370	Mit	2443	78	55	0.256757	0.363636	0.30099
242	465	geb	2435	174	164	0.214724	0.226974	0.220679
243	403	Aus	2427	71	78	0.239437	0.214286	0.226164
