Experiment	n:	src_toks	src_mean_len	src_EMD	src_effective_n	src_f90p	src_f95p	src_f98p	src_f99p	src_f100p	tgt_toks	tgt_mean_len	tgt_EMD	tgt_effective_n	tgt_f90p	tgt_f95p	tgt_f98p	tgt_f99p	tgt_f100p	BLEU_dev	prec_corr_dev	recall_corr_dev	BLEU_test	prec_corr_test	recall_corr_test
runs-enhi-all/000-enhi-chars-r1	Chars	108,059,718	82.16	0.69	89	11474	7863	5910	4717	4717	105,063,278	79.88	0.724	179	2555	1722	1374	1326	1280	16.2	-0.079	-0.467	16.8	-0.133	-0.739
runs-enhi-all/011-enhi-.5k.5k-r1	500	48,334,069	36.75	0.41	486	20535	10201	5011	2272	416	52,557,490	39.96	0.45	490	4699	2715	1559	1388	28	17.8	-0.017	-0.215	17.5	0.041	-0.504
runs-enhi-all/022-enhi-01k01k-r1	1,000	41,121,962	31.27	0.452	979	8632	5681	2133	908	25	43,572,909	33.13	0.462	985	6514	2721	1420	559	13	17.3	-0.051	-0.186	17.2	-0.07	-0.272
runs-enhi-all/033-enhi-02k02k-r1	2,000	35,704,624	27.15	0.498	1,973	3023	1892	686	264	1	37,433,596	28.46	0.496	1,977	3008	1426	502	165	2	18.4	-0.002	-0.138	18	-0.012	-0.164
runs-enhi-all/044-enhi-04k04k-r1	4,000	31,297,671	23.8	0.545	3,965	1131	573	180	45	1	32,717,424	24.88	0.541	3,967	1180	437	164	80	2	17.8	0.075	-0.109	17.9	0.06	-0.096
runs-enhi-all/055-enhi-08k08k-r1	8,000	27,797,911	21.14	0.588	7,949	400	190	48	14	1	29,286,367	22.27	0.594	7,953	405	193	65	27	1	17.3	0.127	-0.115	18.1	0.12	-0.101
runs-enhi-all/066-enhi-16k16k-r1	16,000	25,399,399	19.31	0.645	15,881	147	61	18	6	1	27,053,888	20.57	0.655	15,884	146	70	25	11	1	17	0.185	-0.106	17.7	0.146	-0.132
runs-enhi-all/077-enhi-32k32k-r1	32,000	23,938,075	18.2	0.715	31,616	44	20	6	3	1	25,706,513	19.55	0.725	31,627	47	25	10	5	1	16.8	0.201	-0.127	17.3	0.176	-0.177
runs-enhi-all/088-enhi-48k48k-r1	48,000	23,408,463	17.8	0.759	47,118	22	10	3	2	1	25,187,749	19.15	0.766	47,068	23	14	5	2	1	16.3	0.215	-0.145	16.9	0.196	-0.199
runs-enhi-all/099-enhi-64k64k-r1	64,000	23,134,867	17.59	0.789	62,436	13	6	2	1	1	24,904,408	18.94	0.795	62,185	15	9	3	2	1	16.3	0.232	-0.157	16.7	0.203	-0.216
																									
runs-enlt-all/000-enlt-chars-r1	Chars	93956025	148.9899	0.6663	71	13323	12339	11311	11113	11113	89,047,744	141.2067	0.6487	79	13155	11017	6935	5620	5620	14.8			19.2		
runs-enlt-all/011-enlt-.5k.5k-r1	500	36868194	58.4634	0.4046	494	11608	4164	1163	399	88	37,493,985	59.4557	0.3824	493	16264	9712	2780	1342	5	15.5			20.4		
runs-enlt-all/022-enlt-01k01k-r1	1000	30603706	48.5296	0.4635	987	3703	1585	399	124	2	30,543,200	48.4336	0.4147	988	6036	2729	815	158	3	15.4			20.2		
runs-enlt-all/033-enlt-02k02k-r1	2000	25253772	40.0459	0.5072	1975	1411	641	105	30	1	25,074,445	39.7616	0.4448	1985	2008	667	108	11	1	15.7			20.5		
runs-enlt-all/044-enlt-04k04k-r1	4000	21615585	34.2767	0.5757	3950	380	123	25	7	1	20,999,190	33.2993	0.4757	3966	779	232	38	8	1	15.3			20.3		
runs-enlt-all/055-enlt-08k08k-r1	8000	19399754	30.763	0.6613	7829	98	33	7	3	1	18,171,521	28.8153	0.5254	7900	320	108	22	6	1	15.3			19.8		
runs-enlt-all/066-enlt-16k16k-r1	16000	18337625	29.0787	0.7613	15329	28	10	3	1	1	16,383,815	25.9805	0.5953	15738	129	52	12	4	1	14.6			19.4		
runs-enlt-all/077-enlt-32k32k-r1	32000	17914481	28.4077	0.8527	29628	7	3	1	1	1	15,298,191	24.259	0.6766	31263	39	24	6	2	1	14.3			18.4		
runs-enlt-all/088-enlt-48k48k-r1	48000	17826170	28.2677	0.8947	40277	4	2	1	1	1	14,894,633	23.619	0.7238	46619	19	14	4	2	1	13.6			18.2		
runs-enlt-all/099-enlt-64k64k-r1	64000	17826182	28.2677	0.8946	40277	4	2	1	1	1	14,684,784	23.2863	0.755	61940	11	9	3	2	1	13			17.5		
