Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
491	768	world▁	18507	24	22	0.791667	0.863636	0.826087
492	769	information▁	18498	15	17	0.857143	0.75	0.8
493	881	appl	18426	6	12	0.5	0.25	0.333333
494	772	support▁	18381	17	25	0.764706	0.52	0.619048
495	727	mat	18318	67	41	0.5	0.8	0.615385
496	861	here▁	18313	13	9	0.5	0.75	0.6
497	776	those▁	18300	39	15	0.342105	0.866667	0.490566
498	879	sm	18284	37	36	0.675676	0.7	0.687623
499	637	ful▁	18260	31	23	0.583333	0.782609	0.668435
500	459	own▁	18205	26	22	0.56	0.666667	0.608696
501	779	two▁	18198	48	46	0.829787	0.847826	0.83871
502	924	fr	18191	23	19	0.454545	0.526316	0.487805
503	705	8▁	18186	17	22	1	0.761905	0.864865
504	1132	ces▁	18110	17	20	0.764706	0.65	0.702703
505	73	Y	18072	49	42	0.8125	0.95122	0.876404
506	665	ten	18063	28	26	0.642857	0.692308	0.666667
507	1313	inst	18056	11	16	0.454545	0.3	0.361446
508	774	used▁	18040	36	56	0.771429	0.480769	0.592365
509	1092	sk	18032	34	25	0.647059	0.88	0.745763
510	786	ens	18027	22	24	0.5	0.458333	0.478261
511	397	der▁	18018	60	49	0.655172	0.78125	0.712678
512	538	ded▁	17910	24	41	0.416667	0.243902	0.307692
513	513	sel	17855	20	21	0.55	0.52381	0.536585
514	908	exc	17744	9	13	0.666667	0.461538	0.545455
515	700	cri	17670	38	40	0.675676	0.662162	0.668851
516	685	ran	17641	30	32	0.566667	0.532258	0.548924
517	583	eg	17590	63	52	0.631579	0.75	0.685714
518	510	enc	17557	21	24	0.714286	0.625	0.666667
519	796	respon	17552	20	28	0.805556	0.555556	0.657596
520	417	ai	17515	54	55	0.794118	0.773585	0.783717
521	577	19	17422	36	36	0.942857	0.942857	0.942857
522	1310	ant	17418	25	31	0.64	0.516129	0.571429
523	633	anc	17401	38	48	0.783784	0.617021	0.690476
